Value: 5400       | Date: 2025-05-29 13:24:05
Value: 4800       | Date: 2024-08-05 11:25:47
Value: 4300       | Date: 2024-01-30 11:14:52
Value: 7200       | Date: 2023-07-21 10:55:45
Value: 4800       | Date: 2023-03-16 07:28:41
Value: 6700       | Date: 2021-01-02 00:00:00
Value: 5800       | Date: 2020-12-21 00:00:00
Value: 7600       | Date: 2020-06-01 00:00:00
Value: 3300       | Date: 2019-07-30 00:00:00
Value: 7600       | Date: 2018-09-04 00:00:00
Value: 12200      | Date: 2016-11-12 00:00:00
Value: 7300       | Date: 2013-12-09 00:00:00
Value: 7600       | Date: 2013-09-08 00:00:00
Value: 8600       | Date: 2013-03-19 00:00:00
Value: 9400       | Date: 2012-10-25 00:00:00
Value: 8400       | Date: 2012-05-21 00:00:00
